RULE	EXAMPLE	ENTITIES	RELATIONS
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Fritz_Pregl> <graduatedFrom> <University_of_Graz> => <Fritz_Pregl> <worksAt> <University_of_Graz>	<University_of_Graz> <Fritz_Pregl>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Jon_Kleinberg> <graduatedFrom> <Cornell_University> => <Jon_Kleinberg> <worksAt> <Cornell_University>	<Cornell_University> <Jon_Kleinberg>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Lu_Yongxiang> <graduatedFrom> <Zhejiang_University> => <Lu_Yongxiang> <worksAt> <Zhejiang_University>	<Zhejiang_University> <Lu_Yongxiang>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Karl_W._Giberson> <graduatedFrom> <Eastern_Nazarene_College> => <Karl_W._Giberson> <worksAt> <Eastern_Nazarene_College>	<Eastern_Nazarene_College> <Karl_W._Giberson>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Nils_Nilsson> <graduatedFrom> <Stanford_University> => <Nils_Nilsson> <worksAt> <Stanford_University>	<Stanford_University> <Nils_Nilsson>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Richard_Evans_Schultes> <graduatedFrom> <Harvard_University> => <Richard_Evans_Schultes> <worksAt> <Harvard_University>	<Richard_Evans_Schultes> <Harvard_University>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Karl_Rudolphi> <graduatedFrom> <University_of_Greifswald> => <Karl_Rudolphi> <worksAt> <University_of_Greifswald>	<Karl_Rudolphi> <University_of_Greifswald>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Johann_Georg_Macasius> <graduatedFrom> <University_of_Jena> => <Johann_Georg_Macasius> <worksAt> <University_of_Jena>	<University_of_Jena> <Johann_Georg_Macasius>	<graduatedFrom> <worksAt>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Théophile_de_Donder> <graduatedFrom> <Université_Libre_de_Bruxelles> => <Théophile_de_Donder> <worksAt> <Université_Libre_de_Bruxelles>	<Université_Libre_de_Bruxelles> <Théophile_de_Donder>	<graduatedFrom> <worksAt>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Brian_Masse> <livesIn> <Windsor,_Ontario> => <Brian_Masse> <isLeaderOf> <Windsor,_Ontario>	<Brian_Masse> <Windsor,_Ontario>	<livesIn> <isLeaderOf>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<André_Rouvoet> <livesIn> <Netherlands> => <André_Rouvoet> <isLeaderOf> <Netherlands>	<André_Rouvoet> <Netherlands>	<livesIn> <isLeaderOf>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Bruce_Hyer> <livesIn> <Thunder_Bay> => <Bruce_Hyer> <isLeaderOf> <Thunder_Bay>	<Bruce_Hyer> <Thunder_Bay>	<livesIn> <isLeaderOf>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Daniel_C._Miller> <livesIn> <Harrisburg,_Pennsylvania> => <Daniel_C._Miller> <isLeaderOf> <Harrisburg,_Pennsylvania>	<Daniel_C._Miller> <Harrisburg,_Pennsylvania>	<livesIn> <isLeaderOf>
