RULE	POSITIVE_EXAMPLE	ENTITIES	RELATIONS
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Fritz_Pregl> <graduatedFrom> <University_of_Graz> => <Fritz_Pregl> <worksAt> <University_of_Graz>	<University_of_Graz> <Fritz_Pregl>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Jon_Kleinberg> <graduatedFrom> <Cornell_University> => <Jon_Kleinberg> <worksAt> <Cornell_University>	<Cornell_University> <Jon_Kleinberg>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Lu_Yongxiang> <graduatedFrom> <Zhejiang_University> => <Lu_Yongxiang> <worksAt> <Zhejiang_University>	<Zhejiang_University> <Lu_Yongxiang>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Karl_W._Giberson> <graduatedFrom> <Eastern_Nazarene_College> => <Karl_W._Giberson> <worksAt> <Eastern_Nazarene_College>	<Karl_W._Giberson> <Eastern_Nazarene_College>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Nils_Nilsson> <graduatedFrom> <Stanford_University> => <Nils_Nilsson> <worksAt> <Stanford_University>	<Nils_Nilsson> <Stanford_University>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Richard_Evans_Schultes> <graduatedFrom> <Harvard_University> => <Richard_Evans_Schultes> <worksAt> <Harvard_University>	<Harvard_University> <Richard_Evans_Schultes>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Karl_Rudolphi> <graduatedFrom> <University_of_Greifswald> => <Karl_Rudolphi> <worksAt> <University_of_Greifswald>	<University_of_Greifswald> <Karl_Rudolphi>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Johann_Georg_Macasius> <graduatedFrom> <University_of_Jena> => <Johann_Georg_Macasius> <worksAt> <University_of_Jena>	<University_of_Jena> <Johann_Georg_Macasius>	<worksAt> <graduatedFrom>
?a <graduatedFrom> ?b => ?a <worksAt> ?b	<Théophile_de_Donder> <graduatedFrom> <Université_Libre_de_Bruxelles> => <Théophile_de_Donder> <worksAt> <Université_Libre_de_Bruxelles>	<Théophile_de_Donder> <Université_Libre_de_Bruxelles>	<worksAt> <graduatedFrom>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Brian_Masse> <livesIn> <Windsor,_Ontario> => <Brian_Masse> <isLeaderOf> <Windsor,_Ontario>	<Windsor,_Ontario> <Brian_Masse>	<isLeaderOf> <livesIn>
